710,201920,6,16
711,201819,143,223
711,201920,7,272
713,201819,24,53
713,201920,NULL,8
722,201920,NULL,NULL
800,201819,27626,311939
800,201920,27199,343291
810,201819,28,69
810,201920,27,89
811,201819,76,148
811,201920,71,140
812,201819,569,7815
812,201920,443,4488
820,201819,504,1601
820,201920,525,6337
821,201819,69,136
821,201920,27,92
822,201819,298,816
822,201920,548,5993
823,201819,912,8549
823,201920,698,11295
824,201819,NULL,NULL
824,201920,NULL,6
830,201819,93,482
830,201920,43,581
831,201819,NULL,19
831,201920,NULL,22
834,201819,847,3671
834,201920,922,3301
840,201819,12,24
840,201920,13,41
900,201819,19,109
900,201920,29,140
901,201819,NULL,NULL
901,201920,NULL,NULL
902,201819,26,47
902,201920,19,26
903,201819,41,479
903,201920,43,357
950,201819,8,9
